"id","remarks","created","last_modified","collection_id"
"be58fdcd-e63a-47b3-96e2-23ef595b496f","1 line index","2018-02-07 16:16:39.647208+00","2018-11-14 15:28:15.168564+00","436d790f-190f-4d70-babb-81ac37ce3ad3"
"7ed093c9-934c-426c-87c1-04d63e56a1f8","2 line indexes for Tarrant 1964","2018-02-07 16:14:50.690088+00","2018-04-07 23:23:53.391271+00","f34381f7-8f88-4bc0-8e99-18d9d789095a"
"2ff98ebf-42cb-49d4-9153-8d7510188ef8","1 line index","2018-02-07 16:15:13.844355+00","2018-11-28 22:02:01.099737+00","3bc6dbf2-8f3d-4bbe-bbd8-611f7d6106b7"
"7d9f80ee-224e-4bf4-adcf-a98ecd7fd646","has a line index","2018-02-07 16:13:59.587734+00","2018-11-10 14:22:16.788226+00","1fefa764-56ca-45e8-8bc7-aea70e82f0ce"
"687fa15f-5ba9-4a94-ab9e-e4a64a258ff1","Has line index","2018-02-07 16:16:49.339033+00","2018-11-13 15:31:41.331357+00","a5fd24ca-8b49-42a8-ab75-f6c48d221ef5"
"adc1aa48-b30b-4f33-b98e-24c173ab77ea","Has line index","2018-02-07 16:14:40.994784+00","2018-11-13 15:51:43.299996+00","e457e4ec-9d31-4efd-85fb-55c4b6c5b65f"
"96423a6e-32c9-4533-af60-711217947d7d","2 line indexes","2018-02-07 16:15:09.269208+00","2018-11-13 16:16:15.436598+00","2d911117-c860-46a1-8330-ad069c2f690e"
"69d2fc10-34ff-4816-a8cc-0f9beb6ed5ee","1 line index","2018-02-07 16:14:57.630989+00","2018-11-13 19:41:58.128993+00","b4d5e192-a793-4324-b38d-adc3f5ebe683"
"0051e25e-a104-47f3-b1fe-221f773f1288","1 line index","2018-02-07 16:17:04.689873+00","2018-11-13 19:49:19.593906+00","d076b43b-556b-486e-a336-d4e5343188c7"
"488d9d6e-9aa6-4f0e-ba8f-bf117216c0a4","2 line index for Bexar collection 1985/1986","2018-02-07 16:13:09.956737+00","2018-11-13 20:04:59.521511+00","21019998-a64e-4e75-a2db-9e9db48eb308"
"9990ec2e-f3a1-4b6f-a144-7deb2a8d2fa3","1 line index","2018-02-07 16:14:38.055488+00","2018-11-13 20:55:14.392676+00","08c6b2a2-bc26-4c14-b1af-2c7410e3946b"
"ebdeda55-d862-418a-b851-433202746b3c","1 line index","2018-02-07 16:17:41.611474+00","2018-11-13 21:02:50.158244+00","1525049c-4eb6-4e3d-99dd-d39c3550130a"
"1a5302fd-f9eb-412d-8e24-92fa3ef9e55b","1 line index for Cameron 1977","2018-02-07 16:14:02.420867+00","2018-11-13 21:53:02.040995+00","fc2f2f31-36a4-4e16-abd5-e08188c5b609"
"2088d856-f819-49f3-8f21-f6f9dee36818","2 line index for Chambers Co.","2018-02-07 16:15:59.425199+00","2018-11-14 15:53:53.339523+00","e1036576-6c4c-439c-ae55-a0d29ebb7be3"
"eed42665-412f-4425-9172-bf0a93631ace","1 line index","2018-02-07 16:17:27.261125+00","2018-11-14 17:29:33.355252+00","8d1eafa4-bdbf-46d2-9911-060de179146e"
"5fc9be8e-f9c7-45dc-8e75-1f5868f3583a","1 line index","2018-02-07 16:16:17.640348+00","2018-11-19 20:48:03.079366+00","2930f1eb-bac8-44e1-a040-d962bf12f33c"
"3707ab07-9fa4-4949-b905-b5b782079b0e","2 line indexes for Collin 1951","2018-02-07 16:14:18.357962+00","2018-11-14 22:00:42.233739+00","6579f04a-e0ef-4523-ac1e-8d9d25a0343f"
"a1992f11-c727-443d-a5da-533cc80a178f","no line index for Gregg Co.","2018-02-07 16:14:45.094762+00","2018-11-16 19:51:55.726891+00","47892076-7975-41a8-9662-3759ded23cce"
