"id","collection","from_date","to_date","public","remarks","created","last_modified","agency_id","frames_service_url","index_service_url","mosaic_service_url","ls4_link"
"399bcc7b-72a5-4c27-ad4c-36ccc9722a56","DYK-1955","1955-12-29","1956-04-24",t,"Collection spans from 1955 to 1956, use USDA 1956 photo index","2018-02-07 16:18:10.628566+00","2018-11-30 21:32:43.014493+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"c13f9ab9-00f1-4217-967d-ac56ef2bf2a1","CUH-1960","1960-12-16","1961-01-13",t,"","2018-02-07 16:18:18.92524+00","2018-12-18 15:44:17.310793+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"fb28b041-6754-439c-a349-c45aeb0c124a","DCA-1942","1942-05-15","1942-05-15",t,"","2018-02-07 16:18:22.635546+00","2018-11-19 21:40:44.297963+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"7b6786f3-fb93-492e-85bc-667fee5ba869","CLE-1959","1958-11-21","1958-12-05",t,"","2018-02-07 16:18:01.297555+00","2018-12-20 14:42:44.806674+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"05acaf8c-09c0-43ed-9c02-5e15e17b41d8","CGP-1950","1950-01-07","1950-02-19",t,"","2018-02-07 16:18:05.178633+00","2018-11-19 19:58:38.786144+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"dd6144d8-e56f-4412-a2ec-050eef5be997","94D053","1994-02-16","1994-02-16",t,"","2018-02-07 16:18:08.278335+00","2018-12-12 16:18:39.21401+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"8509880f-a758-4ada-83f2-cc90b6e129fb","CZY-1969","1969-02-25","1969-03-08",t,"","2018-02-07 16:18:10.962241+00","2018-11-30 21:40:09.419145+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"46e69eb2-27c9-479e-97af-bfd09de5d2ec","CGC-1939","1939-02-07","1940-02-07",t,"","2018-02-07 16:18:02.887765+00","2018-12-19 15:47:22.742926+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"6165553d-36db-48ce-bd6e-1ab3ea534ab7","CLL-1940","1940-01-23","1940-01-30",t,"","2018-02-07 16:18:14.72586+00","2018-12-21 22:06:59.695553+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"74885b86-effd-4cfb-928e-7c4ad55653dd","CKO-1950","1950-12-03","1951-01-04",t,"May have product collection from 1950 associated with 1951 photo indexes.  Use USDA 1951 photo indexes for photo location.","2018-02-07 16:18:28.234643+00","2018-12-20 14:25:01.228077+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
